,Argument 1-Premise 1,Argument 1-Premise 2,Argument 1-Conclusion,Argument 2-Premise 1,Argument 2-Premise 2,Argument 2-Conclusion,Argument 2 Chosen,participant_id
0,Airplanes,Rhinos,Crows,Airplanes,,Crows,1,60abcd6f3e5efd9fca235828
1,Magpies,Turtles,Zeppelins,Magpies,,Zeppelins,1,60abcd6f3e5efd9fca235828
2,Dragonflies,Tracksuits,Airplanes,Dragonflies,,Airplanes,1,60abcd6f3e5efd9fca235828
3,Bumblebees,Blouses,Airplanes,Bumblebees,,Airplanes,1,60abcd6f3e5efd9fca235828
4,Cuckoos,Bass guitars,(Hot Air) balloons,Cuckoos,,(Hot Air) balloons,1,60abcd6f3e5efd9fca235828
5,Robins,Turkeys,Mosquitoes,Robins,,Mosquitoes,1,60abcd6f3e5efd9fca235828
6,Bats,Iguanas,Butterflies,Bats,,Butterflies,1,60abcd6f3e5efd9fca235828
7,Eagles,Wolves,Flies,Eagles,,Flies,1,60abcd6f3e5efd9fca235828
8,(Hot Air) balloons,Elephants,Bumblebees,(Hot Air) balloons,,Bumblebees,1,60abcd6f3e5efd9fca235828
9,Doves,Foxes,Helicopters,Doves,,Helicopters,1,60abcd6f3e5efd9fca235828
10,Falcons,Snakes,Helicopters,Falcons,,Helicopters,1,60abcd6f3e5efd9fca235828
11,Horseflies,Frogs,Helicopters,Horseflies,,Helicopters,1,60abcd6f3e5efd9fca235828
12,Sparrows,Saws,Rockets,Sparrows,,Rockets,1,60abcd6f3e5efd9fca235828
13,Doves,Dolphins,Helicopters,Doves,,Helicopters,1,60abcd6f3e5efd9fca235828
14,Pheasants,Boots,(Hot Air) balloons,Pheasants,,(Hot Air) balloons,1,60abcd6f3e5efd9fca235828
15,Bees,Jeans,Zeppelins,Bees,,Zeppelins,1,60abcd6f3e5efd9fca235828
16,Herons,Sheep,Airplanes,Herons,,Airplanes,1,60abcd6f3e5efd9fca235828
17,Canaries,Bison,Bees,Canaries,,Bees,1,60abcd6f3e5efd9fca235828
18,Blackbirds,Organs,Airplanes,Blackbirds,,Airplanes,1,60abcd6f3e5efd9fca235828
19,Fruit Flies,Dolphins,(Hot Air) balloons,Fruit Flies,,(Hot Air) balloons,1,60abcd6f3e5efd9fca235828
20,Chickadees,Levels,Rockets,Chickadees,,Rockets,1,60abcd6f3e5efd9fca235828
21,Bees,Llamas,Cuckoos,Bees,,Cuckoos,1,60abcd6f3e5efd9fca235828
22,Magpies,Carp,Zeppelins,Magpies,,Zeppelins,1,60abcd6f3e5efd9fca235828
23,Bumblebees,Toads,Pelicans,Bumblebees,,Pelicans,1,60abcd6f3e5efd9fca235828
24,Horseflies,Salamanders,Eagles,Horseflies,,Eagles,1,60abcd6f3e5efd9fca235828
25,Butterflies,Hippos,Blackbirds,Butterflies,,Blackbirds,1,60abcd6f3e5efd9fca235828
26,Blackbirds,Hats,Airplanes,Blackbirds,,Airplanes,1,60abcd6f3e5efd9fca235828
27,Helicopters,Pots,Flies,Helicopters,,Flies,1,60abcd6f3e5efd9fca235828
28,Blackbirds,Bras,Airplanes,Blackbirds,,Airplanes,1,60abcd6f3e5efd9fca235828
