,Premise 1,Premise 2,Premise 3,Conclusion,GPT-3.5
0,Airplanes,Rhinos,,Crows,0.0
1,Magpies,Turtles,,Zeppelins,0.0
2,Dragonflies,Tracksuits,,Airplanes,5.0
3,Bumblebees,Blouses,,Airplanes,0.0
4,Cuckoos,Bass guitars,,(Hot Air) balloons,0.0
5,Robins,Turkeys,,Mosquitoes,0.0
6,Bats,Iguanas,,Butterflies,0.0
7,Eagles,Wolves,,Flies,0.0
8,(Hot Air) balloons,Elephants,,Bumblebees,0.0
9,Doves,Foxes,,Helicopters,0.0
10,Falcons,Snakes,,Helicopters,0.0
11,Horseflies,Frogs,,Helicopters,0.0
12,Sparrows,Saws,,Rockets,0.0
13,Doves,Dolphins,,Helicopters,0.0
14,Pheasants,Boots,,(Hot Air) balloons,0.0
15,Bees,Jeans,,Zeppelins,0.0
16,Herons,Sheep,,Airplanes,0.0
17,Canaries,Bison,,Bees,100.0
18,Blackbirds,Organs,,Airplanes,0.0
19,Fruit Flies,Dolphins,,(Hot Air) balloons,50.0
20,Chickadees,Levels,,Rockets,0.0
21,Bees,Llamas,,Cuckoos,0.0
22,Magpies,Carp,,Zeppelins,0.0
23,Bumblebees,Toads,,Pelicans,0.0
24,Horseflies,Salamanders,,Eagles,0.0
25,Butterflies,Hippos,,Blackbirds,0.0
26,Blackbirds,Hats,,Airplanes,0.0
27,Helicopters,Pots,,Flies,0.0
28,Blackbirds,Bras,,Airplanes,0.0
29,Eagles,Clarinets,,Airplanes,0.0
30,Sparrows,Snakes,,Zeppelins,0.0
31,Storks,Panties,,Zeppelins,0.0
32,Herons,Pigs,,Airplanes,0.0
33,Swallows,Wolves,,Wasps,0.0
34,Robins,Snakes,,Helicopters,0.0
36,Falcons,Ducks,,(Hot Air) balloons,100.0
37,Moths,Camels,,Canaries,0.0
40,Owls,Rhinos,,Wasps,0.0
45,Canaries,Bassoons,,Zeppelins,0.0
46,Woodpeckers,Hedgehogs,,Dragonflies,0.0
47,Flies,Rays,,Parakeets,0.0
48,Cuckoos,Accordions,,(Hot Air) balloons,100.0
51,Swallows,Piranhas,,Rockets,0.0
52,Owls,Caimans,,Zeppelins,0.0
55,Horseflies,Pan flutes,,(Hot Air) balloons,0.0
59,Parakeets,Alligators,,Zeppelins,0.0
60,Cuckoos,Turkeys,,Helicopters,0.0
61,Eagles,Cobras,,Bats,0.0
62,Bumblebees,Tortoises,,Rockets,0.0
63,Magpies,Polar Bears,,Zeppelins,0.0
64,Rockets,Colanders,,Flies,0.0
67,Bees,Grasshoppers,,Airplanes,0.0
71,Cuckoos,Woks,,Zeppelins,0.0
72,Fruit Flies,Beetles,,Crows,0.0
73,Cuckoos,Go-carts,,(Hot Air) balloons,100.0
79,Horseflies,Swordfish,,Rockets,0.0
81,Parrots,Trumpets,,Airplanes,5.0
84,Storks,Jeans,,Rockets,0.0
