,Premise 1,Premise 2,Premise 3,Conclusion,Dataset,Human,Overlap (Bhatia),GPT-3.5,GPT-4,SCM (Han)
0,duck,,,robin,Rips,18.0,0.352702012,0.999996944,80.0,
1,duck,,,eagle,Rips,35.0,0.306829329,0.999987586,60.0,
2,duck,,,sparrow,Rips,18.0,0.364321564,0.999992795,60.0,
3,robin,,,sparrow,Rips,79.0,0.670746647,0.999996123,85.0,
4,robin,,,eagle,Rips,41.0,0.417997292,0.616249738,80.0,
5,robin,,,duck,Rips,30.0,0.352702012,0.594920353,80.0,
6,eagle,,,sparrow,Rips,29.0,0.44030443,0.999993853,75.0,
7,eagle,,,robin,Rips,26.0,0.417997292,0.999998442,80.0,
8,eagle,,,duck,Rips,16.0,0.306829329,0.575366684,60.0,
9,sparrow,,,robin,Rips,66.0,0.670746647,0.999993274,85.0,
10,sparrow,,,eagle,Rips,43.0,0.44030443,0.99998497,60.0,
11,sparrow,,,duck,Rips,27.0,0.364321564,0.999984394,60.0,
12,horse,,,deer,Rips,29.0,0.542395232,0.629352918,75.0,
13,horse,,,lion,Rips,38.0,0.439566345,0.596405039,40.0,
14,horse,,,pig,Rips,47.0,0.420389087,0.636548248,45.0,
15,horse,,,dog,Rips,44.0,0.504866819,0.649178256,60.0,
16,horse,,,mouse,Rips,29.0,0.424383227,0.589871969,50.0,
17,dog,,,mouse,Rips,31.0,0.581187521,0.999970259,60.0,
18,dog,,,lion,Rips,31.0,0.440486157,0.999981453,70.0,
19,dog,,,deer,Rips,26.0,0.419742026,0.99998907,40.0,
20,dog,,,horse,Rips,39.0,0.504866819,0.99999458,50.0,
21,dog,,,pig,Rips,39.0,0.424979018,0.999986195,60.0,
22,pig,,,horse,Rips,22.0,0.420389087,0.999991226,60.0,
23,pig,,,deer,Rips,15.0,0.387457819,0.999990687,60.0,
24,pig,,,lion,Rips,40.0,0.30498322,0.999984636,40.0,
25,pig,,,mouse,Rips,40.0,0.520252966,0.9999809,40.0,
26,pig,,,dog,Rips,36.0,0.424979018,0.999989332,60.0,
27,deer,,,lion,Rips,48.0,0.509478958,0.999983182,40.0,
28,deer,,,mouse,Rips,27.0,0.473690685,0.615008833,40.0,
29,deer,,,dog,Rips,28.0,0.419742026,0.584349823,40.0,
30,deer,,,pig,Rips,21.0,0.387457819,0.999989939,45.0,
31,deer,,,horse,Rips,44.0,0.542395232,0.633477251,65.0,
32,lion,,,horse,Rips,36.0,0.439566345,0.567434516,50.0,
33,lion,,,deer,Rips,41.0,0.509478958,0.528222131,40.0,
34,lion,,,mouse,Rips,25.0,0.4134816,0.533527725,40.0,
35,lion,,,dog,Rips,42.0,0.440486157,0.559169495,70.0,
36,lion,,,pig,Rips,36.0,0.30498322,0.535869436,40.0,
37,mouse,,,horse,Rips,13.0,0.424383227,0.999991636,40.0,
38,mouse,,,deer,Rips,11.0,0.473690685,0.999987992,40.0,
39,mouse,,,lion,Rips,22.0,0.4134816,0.999978928,40.0,
40,mouse,,,pig,Rips,29.0,0.520252966,0.999982272,40.0,
