,Premise 1,Premise 2,Premise 3,Conclusion,Argument Group,Phenomenon,Dataset,GPT-3.5,GPT-4
0,spear,bow,,knuckle dusters,High,Monotonicity,Giallanza Phenomena,0.0,30.0
1,spear,,,knuckle dusters,Low,Monotonicity,Giallanza Phenomena,10.0,60.0
2,oilcan,drill,,file,High,Monotonicity,Giallanza Phenomena,90.0,70.0
3,oilcan,,,file,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
4,blindworm,crocodile,,turtle,High,Monotonicity,Giallanza Phenomena,100.0,70.0
5,blindworm,,,turtle,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
6,synthesizer,drum set,,bassoon,High,Monotonicity,Giallanza Phenomena,100.0,60.0
7,synthesizer,,,bassoon,Low,Monotonicity,Giallanza Phenomena,10.0,25.0
8,tortoise,python,,alligator,High,Monotonicity,Giallanza Phenomena,50.0,70.0
9,tortoise,,,alligator,Low,Monotonicity,Giallanza Phenomena,10.0,50.0
10,ostrich,cuckoo,,rooster,High,Monotonicity,Giallanza Phenomena,0.0,85.0
11,ostrich,,,rooster,Low,Monotonicity,Giallanza Phenomena,10.0,65.0
12,bass guitar,tambourine,,saxophone,High,Monotonicity,Giallanza Phenomena,50.0,70.0
13,bass guitar,,,saxophone,Low,Monotonicity,Giallanza Phenomena,20.0,40.0
14,blouse,pyjamas,,pants,High,Monotonicity,Giallanza Phenomena,100.0,70.0
15,blouse,,,pants,Low,Monotonicity,Giallanza Phenomena,60.0,60.0
16,caterpillar,centipede,,dragonfly,High,Monotonicity,Giallanza Phenomena,100.0,60.0
17,caterpillar,,,dragonfly,Low,Monotonicity,Giallanza Phenomena,90.0,40.0
18,(hot air) balloon,boat,,cart,High,Monotonicity,Giallanza Phenomena,50.0,60.0
19,(hot air) balloon,,,cart,Low,Monotonicity,Giallanza Phenomena,10.0,20.0
20,knuckle dusters,machine gun,,shield,High,Monotonicity,Giallanza Phenomena,5.0,30.0
21,knuckle dusters,,,shield,Low,Monotonicity,Giallanza Phenomena,5.0,30.0
22,rocket,submarine,,subway train,High,Monotonicity,Giallanza Phenomena,100.0,60.0
23,rocket,,,subway train,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
24,shirt,shoes,,suit,High,Monotonicity,Giallanza Phenomena,100.0,85.0
25,shirt,,,suit,Low,Monotonicity,Giallanza Phenomena,90.0,85.0
26,zebra,donkey,,hamster,High,Monotonicity,Giallanza Phenomena,0.0,30.0
27,zebra,,,hamster,Low,Monotonicity,Giallanza Phenomena,5.0,30.0
28,falcon,parakeet,,swallow,High,Monotonicity,Giallanza Phenomena,100.0,85.0
29,falcon,,,swallow,Low,Monotonicity,Giallanza Phenomena,10.0,85.0
30,clamp,screwdriver,,axe,High,Monotonicity,Giallanza Phenomena,5.0,70.0
31,clamp,,,axe,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
32,duck,sparrow,,rooster,High,Monotonicity,Giallanza Phenomena,100.0,85.0
33,duck,,,rooster,Low,Monotonicity,Giallanza Phenomena,10.0,65.0
34,ray,stickleback,,piranha,High,Monotonicity,Giallanza Phenomena,100.0,70.0
35,ray,,,piranha,Low,Monotonicity,Giallanza Phenomena,90.0,60.0
36,grinding disc,hammer,,drill,High,Monotonicity,Giallanza Phenomena,90.0,85.0
37,grinding disc,,,drill,Low,Monotonicity,Giallanza Phenomena,60.0,65.0
38,place mat,kettle,,toaster,High,Monotonicity,Giallanza Phenomena,50.0,65.0
39,place mat,,,toaster,Low,Monotonicity,Giallanza Phenomena,10.0,25.0
40,grenade,stick,,spear,High,Monotonicity,Giallanza Phenomena,50.0,65.0
41,grenade,,,spear,Low,Monotonicity,Giallanza Phenomena,5.0,40.0
42,sardine,herring,,flatfish,High,Monotonicity,Giallanza Phenomena,100.0,70.0
43,sardine,,,flatfish,Low,Monotonicity,Giallanza Phenomena,10.0,70.0
44,flatfish,sole,,plaice,High,Monotonicity,Giallanza Phenomena,100.0,95.0
45,flatfish,,,plaice,Low,Monotonicity,Giallanza Phenomena,95.0,95.0
46,salamander,salamander,,boa,High,Monotonicity,Giallanza Phenomena,100.0,65.0
47,salamander,,,boa,Low,Monotonicity,Giallanza Phenomena,10.0,65.0
48,microwave oven,sieve,,pan,High,Monotonicity,Giallanza Phenomena,5.0,70.0
49,microwave oven,,,pan,Low,Monotonicity,Giallanza Phenomena,20.0,40.0
50,giraffe,kangaroo,,squirrel,High,Monotonicity,Giallanza Phenomena,5.0,60.0
51,giraffe,,,squirrel,Low,Monotonicity,Giallanza Phenomena,10.0,30.0
52,worm,wood louse,,ant,High,Monotonicity,Giallanza Phenomena,100.0,70.0
53,worm,,,ant,Low,Monotonicity,Giallanza Phenomena,90.0,70.0
54,t-shirt,suit,,jeans,High,Monotonicity,Giallanza Phenomena,100.0,85.0
55,t-shirt,,,jeans,Low,Monotonicity,Giallanza Phenomena,90.0,70.0
56,teaspoon,microwave oven,,kettle,High,Monotonicity,Giallanza Phenomena,100.0,65.0
57,teaspoon,,,kettle,Low,Monotonicity,Giallanza Phenomena,20.0,30.0
58,car,subway train,,(hot air) balloon,High,Monotonicity,Giallanza Phenomena,90.0,30.0
59,car,,,(hot air) balloon,Low,Monotonicity,Giallanza Phenomena,10.0,20.0
60,slingshot,knuckle dusters,,shield,High,Monotonicity,Giallanza Phenomena,0.0,30.0
61,slingshot,,,shield,Low,Monotonicity,Giallanza Phenomena,10.0,25.0
62,airplane,skateboard,,rocket,High,Monotonicity,Giallanza Phenomena,100.0,85.0
63,airplane,,,rocket,Low,Monotonicity,Giallanza Phenomena,90.0,70.0
64,taxi,cart,,motorbike,High,Monotonicity,Giallanza Phenomena,100.0,60.0
65,taxi,,,motorbike,Low,Monotonicity,Giallanza Phenomena,60.0,40.0
66,squirrel,lion,,polar bear,High,Monotonicity,Giallanza Phenomena,50.0,90.0
67,squirrel,,,polar bear,Low,Monotonicity,Giallanza Phenomena,10.0,45.0
68,harmonica,pan flute,,tambourine,High,Monotonicity,Giallanza Phenomena,100.0,30.0
69,harmonica,,,tambourine,Low,Monotonicity,Giallanza Phenomena,10.0,45.0
70,bottle,can opener,,mixer,High,Monotonicity,Giallanza Phenomena,100.0,65.0
71,bottle,,,mixer,Low,Monotonicity,Giallanza Phenomena,60.0,65.0
72,drum,banjo,,organ,High,Monotonicity,Giallanza Phenomena,100.0,60.0
73,drum,,,organ,Low,Monotonicity,Giallanza Phenomena,10.0,40.0
74,shovel,saw,,file,High,Monotonicity,Giallanza Phenomena,100.0,70.0
75,shovel,,,file,Low,Monotonicity,Giallanza Phenomena,10.0,40.0
76,woodpecker,pelican,,ostrich,High,Monotonicity,Giallanza Phenomena,0.0,60.0
77,woodpecker,,,ostrich,Low,Monotonicity,Giallanza Phenomena,10.0,45.0
78,carp,herring,,shark,High,Monotonicity,Giallanza Phenomena,100.0,70.0
79,carp,,,shark,Low,Monotonicity,Giallanza Phenomena,10.0,70.0
80,whale,sole,,carp,High,Monotonicity,Giallanza Phenomena,50.0,85.0
81,whale,,,carp,Low,Monotonicity,Giallanza Phenomena,5.0,45.0
82,owl,chickadee,,parakeet,High,Monotonicity,Giallanza Phenomena,100.0,90.0
83,owl,,,parakeet,Low,Monotonicity,Giallanza Phenomena,10.0,70.0
84,guitar,saxophone,,piano,High,Monotonicity,Giallanza Phenomena,100.0,70.0
85,guitar,,,piano,Low,Monotonicity,Giallanza Phenomena,20.0,65.0
86,truck,go-cart,,carriage,High,Monotonicity,Giallanza Phenomena,100.0,70.0
87,truck,,,carriage,Low,Monotonicity,Giallanza Phenomena,90.0,60.0
