,Argument 1-Premise 1,Argument 1-Premise 2,Argument 1-Conclusion,Argument 2-Premise 1,Argument 2-Premise 2,Argument 2-Conclusion,Argument 2 Chosen,participant_id
0,hamster,goldfish,swordfish,hamster,goldfish,parrot,1,62e02b26e879244a99e852fa
1,chicken,salmon,sparrow,chicken,salmon,cow,1,62e02b26e879244a99e852fa
2,hamster,parrot,seagull,hamster,parrot,turtle,1,62e02b26e879244a99e852fa
3,chicken,cow,seagull,chicken,cow,trout,1,62e02b26e879244a99e852fa
4,parrot,goldfish,seagull,parrot,goldfish,turtle,1,62e02b26e879244a99e852fa
5,cat,goldfish,wolf,cat,goldfish,parrot,1,62e02b26e879244a99e852fa
6,pig,duck,beaver,pig,duck,herring,1,62e02b26e879244a99e852fa
7,chicken,salmon,piranha,chicken,salmon,cow,1,62e02b26e879244a99e852fa
8,cow,duck,beaver,cow,duck,herring,1,62e02b26e879244a99e852fa
9,airplane,robin,van,airplane,robin,bee,0,62e02b26e879244a99e852fa
10,fly,airplane,car,fly,airplane,robin,0,62e02b26e879244a99e852fa
11,pig,salmon,piranha,pig,salmon,chicken,1,62e02b26e879244a99e852fa
12,chicken,pig,kangaroo,chicken,pig,anchovy,0,62e02b26e879244a99e852fa
13,airplane,sparrow,van,airplane,sparrow,bee,1,62e02b26e879244a99e852fa
14,cow,duck,falcon,cow,duck,salmon,1,62e02b26e879244a99e852fa
15,fly,airplane,bus,fly,airplane,robin,1,62e02b26e879244a99e852fa
16,fly,airplane,bus,fly,airplane,sparrow,1,62e02b26e879244a99e852fa
17,fly,airplane,bus,fly,airplane,bat,1,62e02b26e879244a99e852fa
18,pig,duck,seagull,pig,duck,salmon,1,62e02b26e879244a99e852fa
19,parrot,turtle,stork,parrot,turtle,goldfish,1,62e02b26e879244a99e852fa
20,pig,duck,seagull,pig,duck,herring,1,62e02b26e879244a99e852fa
21,cow,duck,swan,cow,duck,salmon,1,62e02b26e879244a99e852fa
22,chicken,cow,kangaroo,chicken,cow,salmon,0,62e02b26e879244a99e852fa
23,chicken,salmon,seagull,chicken,salmon,sheep,1,62e02b26e879244a99e852fa
24,airplane,bat,car,airplane,bat,bee,1,62e02b26e879244a99e852fa
25,chicken,pig,kangaroo,chicken,pig,sardine,0,62e02b26e879244a99e852fa
26,pig,salmon,sperm whale,pig,salmon,chicken,1,62e02b26e879244a99e852fa
27,chicken,cow,hedgehog,chicken,cow,salmon,1,62e02b26e879244a99e852fa
28,turkey,salmon,seagull,turkey,salmon,sheep,1,62e02b26e879244a99e852fa
29,pig,duck,hedgehog,pig,duck,salmon,1,62e02b26e879244a99e852fa
30,cow,duck,cuckoo,cow,duck,salmon,1,62e02b26e879244a99e852fa
31,chicken,pig,seagull,chicken,pig,salmon,1,62e02b26e879244a99e852fa
32,turkey,salmon,swan,turkey,salmon,sheep,1,62e02b26e879244a99e852fa
33,turkey,salmon,sperm whale,turkey,salmon,cow,1,62e02b26e879244a99e852fa
34,turkey,salmon,seagull,turkey,salmon,cow,1,62e02b26e879244a99e852fa
35,pig,duck,seagull,pig,duck,herring,0,6090578fb2299eacaec32b7a
36,chicken,pig,hedgehog,chicken,pig,sardine,0,6090578fb2299eacaec32b7a
37,pig,duck,hedgehog,pig,duck,salmon,0,6090578fb2299eacaec32b7a
38,turkey,salmon,sperm whale,turkey,salmon,cow,1,6090578fb2299eacaec32b7a
39,horsefly,airplane,van,horsefly,airplane,robin,1,6090578fb2299eacaec32b7a
40,chicken,cow,seagull,chicken,cow,salmon,0,6090578fb2299eacaec32b7a
41,turkey,salmon,swan,turkey,salmon,sheep,0,6090578fb2299eacaec32b7a
42,chicken,salmon,falcon,chicken,salmon,cow,1,6090578fb2299eacaec32b7a
43,pig,duck,seagull,pig,duck,salmon,1,6090578fb2299eacaec32b7a
44,cow,duck,cuckoo,cow,duck,salmon,1,6090578fb2299eacaec32b7a
45,turkey,salmon,seagull,turkey,salmon,cow,1,6090578fb2299eacaec32b7a
