,Premise 1,Conclusion 1,Conclusion 2,Distractor 1,Distractor 2,Participant Group,GPT-3.5,GPT-4
0,blackbird,mouse,airplane,bus,hamster,Distractor 1,1.0,3.0
1,blackbird,mouse,airplane,bus,hamster,Distractor 2,1.0,3.0
2,blackbird,mouse,airplane,car,hamster,Distractor 1,1.0,3.0
3,blackbird,mouse,airplane,car,hamster,Distractor 2,1.0,3.0
4,blackbird,polar bear,airplane,bus,penguin,Distractor 1,1.0,3.0
5,blackbird,polar bear,airplane,bus,penguin,Distractor 2,2.0,2.0
6,blackbird,polar bear,airplane,car,penguin,Distractor 1,1.0,3.0
7,blackbird,polar bear,airplane,car,penguin,Distractor 2,2.0,2.0
8,car,motorbike,train,tram,bicycle,Distractor 1,1.0,1.0
9,car,motorbike,train,tram,bicycle,Distractor 2,3.0,1.0
10,cat,hamster,horse,zebra,mouse,Distractor 1,1.0,1.0
11,cat,hamster,horse,zebra,mouse,Distractor 2,2.0,1.0
12,cello,guitar,piano,organ,bass guitar,Distractor 1,3.0,1.0
13,cello,guitar,piano,organ,bass guitar,Distractor 2,3.0,2.0
14,cobra,alligator,frog,toad,crocodile,Distractor 1,1.0,1.0
15,cobra,alligator,frog,toad,crocodile,Distractor 2,2.0,2.0
16,cobra,alligator,lizard,chameleon,crocodile,Distractor 1,1.0,3.0
17,cobra,alligator,lizard,chameleon,crocodile,Distractor 2,2.0,2.0
18,cobra,alligator,lizard,gecko,crocodile,Distractor 1,1.0,3.0
19,cobra,alligator,lizard,gecko,crocodile,Distractor 2,2.0,2.0
20,crow,mouse,airplane,bus,hamster,Distractor 1,1.0,3.0
21,crow,mouse,airplane,bus,hamster,Distractor 2,2.0,3.0
22,dolphin,whale,cod,herring,sperm whale,Distractor 1,1.0,1.0
23,dolphin,whale,cod,herring,sperm whale,Distractor 2,1.0,2.0
24,duck,pelican,cow,horse,seagull,Distractor 1,1.0,1.0
25,duck,pelican,cow,horse,seagull,Distractor 2,1.0,2.0
26,duck,pelican,pig,horse,seagull,Distractor 1,1.0,1.0
27,duck,pelican,pig,horse,seagull,Distractor 2,1.0,1.0
28,duck,pelican,salmon,goldfish,seagull,Distractor 1,1.0,1.0
29,duck,pelican,salmon,goldfish,seagull,Distractor 2,1.0,1.0
30,eagle,rooster,seagull,pelican,chicken,Distractor 1,2.0,3.0
31,eagle,rooster,seagull,pelican,chicken,Distractor 2,3.0,3.0
32,owl,cat,airplane,bus,lion,Distractor 1,1.0,1.0
