,Premise 1,Premise 2,Premise 3,Conclusion,participant_id,Domain,Similarity,Normalized Similarity
0,bazooka,,,axe,0,Weapons,1.0,-0.6502596465892267
1,bazooka,,,knuckle dusters,0,Weapons,1.0,-0.6502596465892267
2,bazooka,,,bow,0,Weapons,1.0,-0.6502596465892267
3,bazooka,,,dagger,0,Weapons,2.0,-0.4440003263021598
4,bazooka,,,rifle,0,Weapons,13.0,1.824852196855576
5,bazooka,,,grenade,0,Weapons,12.0,1.6185928765685091
6,bazooka,,,canon,0,Weapons,14.0,2.031111517142643
8,bazooka,,,club,0,Weapons,1.0,-0.6502596465892267
9,bazooka,,,machine gun,0,Weapons,9.0,0.9998149157073084
10,bazooka,,,pistol,0,Weapons,2.0,-0.4440003263021598
11,bazooka,,,shield,0,Weapons,1.0,-0.6502596465892267
12,bazooka,,,spear,0,Weapons,2.0,-0.4440003263021598
13,bazooka,,,stick,0,Weapons,1.0,-0.6502596465892267
14,bazooka,,,tank,0,Weapons,15.0,2.23737083742971
15,bazooka,,,rope,0,Weapons,1.0,-0.6502596465892267
16,bazooka,,,double barrelled shotgun,0,Weapons,2.0,-0.4440003263021598
17,bazooka,,,sword,0,Weapons,1.0,-0.6502596465892267
18,bazooka,,,whip,0,Weapons,1.0,-0.6502596465892267
19,axe,,,knuckle dusters,0,Weapons,1.0,-0.6502596465892267
20,axe,,,bow,0,Weapons,14.0,2.031111517142643
21,axe,,,dagger,0,Weapons,4.0,-0.031481685728026
22,axe,,,rifle,0,Weapons,2.0,-0.4440003263021598
23,axe,,,grenade,0,Weapons,2.0,-0.4440003263021598
24,axe,,,canon,0,Weapons,1.0,-0.6502596465892267
26,axe,,,club,0,Weapons,1.0,-0.6502596465892267
27,axe,,,machine gun,0,Weapons,2.0,-0.4440003263021598
28,axe,,,pistol,0,Weapons,5.0,0.1747776345590408
29,axe,,,shield,0,Weapons,12.0,1.6185928765685091
30,axe,,,spear,0,Weapons,14.0,2.031111517142643
31,axe,,,stick,0,Weapons,7.0,0.5872962751331746
32,axe,,,tank,0,Weapons,3.0,-0.2377410060150929
33,axe,,,rope,0,Weapons,4.0,-0.031481685728026
34,axe,,,double barrelled shotgun,0,Weapons,2.0,-0.4440003263021598
35,axe,,,sword,0,Weapons,3.0,-0.2377410060150929
36,axe,,,whip,0,Weapons,1.0,-0.6502596465892267
37,knuckle dusters,,,bow,0,Weapons,2.0,-0.4440003263021598
38,knuckle dusters,,,dagger,0,Weapons,4.0,-0.031481685728026
39,knuckle dusters,,,rifle,0,Weapons,1.0,-0.6502596465892267
40,knuckle dusters,,,grenade,0,Weapons,1.0,-0.6502596465892267
41,knuckle dusters,,,canon,0,Weapons,1.0,-0.6502596465892267
43,knuckle dusters,,,club,0,Weapons,1.0,-0.6502596465892267
44,knuckle dusters,,,machine gun,0,Weapons,2.0,-0.4440003263021598
45,knuckle dusters,,,pistol,0,Weapons,2.0,-0.4440003263021598
46,knuckle dusters,,,shield,0,Weapons,2.0,-0.4440003263021598
47,knuckle dusters,,,spear,0,Weapons,1.0,-0.6502596465892267
48,knuckle dusters,,,stick,0,Weapons,2.0,-0.4440003263021598
49,knuckle dusters,,,tank,0,Weapons,1.0,-0.6502596465892267
50,knuckle dusters,,,rope,0,Weapons,1.0,-0.6502596465892267
51,knuckle dusters,,,double barrelled shotgun,0,Weapons,2.0,-0.4440003263021598
52,knuckle dusters,,,sword,0,Weapons,1.0,-0.6502596465892267
53,knuckle dusters,,,whip,0,Weapons,1.0,-0.6502596465892267
54,bow,,,dagger,0,Weapons,2.0,-0.4440003263021598
55,bow,,,rifle,0,Weapons,2.0,-0.4440003263021598
56,bow,,,grenade,0,Weapons,2.0,-0.4440003263021598
57,bow,,,canon,0,Weapons,1.0,-0.6502596465892267
59,bow,,,club,0,Weapons,2.0,-0.4440003263021598
60,bow,,,machine gun,0,Weapons,2.0,-0.4440003263021598
61,bow,,,pistol,0,Weapons,1.0,-0.6502596465892267
62,bow,,,shield,0,Weapons,16.0,2.4436301577167767
63,bow,,,spear,0,Weapons,17.0,2.649889478003844
64,bow,,,stick,0,Weapons,15.0,2.23737083742971
65,bow,,,tank,0,Weapons,2.0,-0.4440003263021598
66,bow,,,rope,0,Weapons,6.0,0.3810369548461077
67,bow,,,double barrelled shotgun,0,Weapons,1.0,-0.6502596465892267
68,bow,,,sword,0,Weapons,1.0,-0.6502596465892267
69,bow,,,whip,0,Weapons,1.0,-0.6502596465892267
70,dagger,,,rifle,0,Weapons,3.0,-0.2377410060150929
71,dagger,,,grenade,0,Weapons,2.0,-0.4440003263021598
72,dagger,,,canon,0,Weapons,2.0,-0.4440003263021598
74,dagger,,,club,0,Weapons,3.0,-0.2377410060150929
75,dagger,,,machine gun,0,Weapons,7.0,0.5872962751331746
76,dagger,,,pistol,0,Weapons,10.0,1.2060742359943752
77,dagger,,,shield,0,Weapons,2.0,-0.4440003263021598
78,dagger,,,spear,0,Weapons,12.0,1.6185928765685091
79,dagger,,,stick,0,Weapons,1.0,-0.6502596465892267
80,dagger,,,tank,0,Weapons,2.0,-0.4440003263021598
81,dagger,,,rope,0,Weapons,5.0,0.1747776345590408
82,dagger,,,double barrelled shotgun,0,Weapons,2.0,-0.4440003263021598
83,dagger,,,sword,0,Weapons,4.0,-0.031481685728026
84,dagger,,,whip,0,Weapons,2.0,-0.4440003263021598
85,rifle,,,grenade,0,Weapons,2.0,-0.4440003263021598
86,rifle,,,canon,0,Weapons,3.0,-0.2377410060150929
88,rifle,,,club,0,Weapons,1.0,-0.6502596465892267
89,rifle,,,machine gun,0,Weapons,14.0,2.031111517142643
90,rifle,,,pistol,0,Weapons,17.0,2.649889478003844
91,rifle,,,shield,0,Weapons,1.0,-0.6502596465892267
92,rifle,,,spear,0,Weapons,1.0,-0.6502596465892267
93,rifle,,,stick,0,Weapons,1.0,-0.6502596465892267
94,rifle,,,tank,0,Weapons,2.0,-0.4440003263021598
95,rifle,,,rope,0,Weapons,1.0,-0.6502596465892267
96,rifle,,,double barrelled shotgun,0,Weapons,14.0,2.031111517142643
97,rifle,,,sword,0,Weapons,2.0,-0.4440003263021598
98,rifle,,,whip,0,Weapons,1.0,-0.6502596465892267
99,grenade,,,canon,0,Weapons,10.0,1.2060742359943752
101,grenade,,,club,0,Weapons,1.0,-0.6502596465892267
102,grenade,,,machine gun,0,Weapons,2.0,-0.4440003263021598
103,grenade,,,pistol,0,Weapons,2.0,-0.4440003263021598
104,grenade,,,shield,0,Weapons,1.0,-0.6502596465892267
105,grenade,,,spear,0,Weapons,2.0,-0.4440003263021598
106,grenade,,,stick,0,Weapons,1.0,-0.6502596465892267
107,grenade,,,tank,0,Weapons,14.0,2.031111517142643
108,grenade,,,rope,0,Weapons,1.0,-0.6502596465892267
109,grenade,,,double barrelled shotgun,0,Weapons,10.0,1.2060742359943752
110,grenade,,,sword,0,Weapons,1.0,-0.6502596465892267
111,grenade,,,whip,0,Weapons,4.0,-0.031481685728026
113,canon,,,club,0,Weapons,1.0,-0.6502596465892267
114,canon,,,machine gun,0,Weapons,2.0,-0.4440003263021598
115,canon,,,pistol,0,Weapons,2.0,-0.4440003263021598
116,canon,,,shield,0,Weapons,2.0,-0.4440003263021598
117,canon,,,spear,0,Weapons,1.0,-0.6502596465892267
118,canon,,,stick,0,Weapons,1.0,-0.6502596465892267
119,canon,,,tank,0,Weapons,17.0,2.649889478003844
120,canon,,,rope,0,Weapons,1.0,-0.6502596465892267
121,canon,,,double barrelled shotgun,0,Weapons,7.0,0.5872962751331746
122,canon,,,sword,0,Weapons,2.0,-0.4440003263021598
123,canon,,,whip,0,Weapons,2.0,-0.4440003263021598
135,club,,,machine gun,0,Weapons,2.0,-0.4440003263021598
136,club,,,pistol,0,Weapons,2.0,-0.4440003263021598
137,club,,,shield,0,Weapons,9.0,0.9998149157073084
138,club,,,spear,0,Weapons,2.0,-0.4440003263021598
139,club,,,stick,0,Weapons,17.0,2.649889478003844
140,club,,,tank,0,Weapons,2.0,-0.4440003263021598
141,club,,,rope,0,Weapons,1.0,-0.6502596465892267
142,club,,,double barrelled shotgun,0,Weapons,1.0,-0.6502596465892267
143,club,,,sword,0,Weapons,2.0,-0.4440003263021598
144,club,,,whip,0,Weapons,1.0,-0.6502596465892267
145,machine gun,,,pistol,0,Weapons,12.0,1.6185928765685091
146,machine gun,,,shield,0,Weapons,14.0,2.031111517142643
147,machine gun,,,spear,0,Weapons,13.0,1.824852196855576
